Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
LEGO Batman 2: DC Super Heroes    Read the review,PS3,Warner Bros. Interactive Entertainment,Action-Adventure,1.23,0.5,0.54,0.0,8.4,26  Jun 12,2012.0
Shadow of the Colossus    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,1.2,0.44,0.52,0.05,9.0,06  Feb 18,2018.0
Sleeping Dogs    Read the review,X360,Square Enix,Action-Adventure,0.87,0.38,0.4,0.01,8.8,14  Aug 12,2012.0
The Amazing Spider-Man (2012)    Read the review,X360,Activision,Action-Adventure,0.74,0.43,0.24,0.0,7.0,26  Jun 12,2012.0
Gravity Rush    Read the review,PSV,Sony Computer Entertainment,Action-Adventure,0.6,0.21,0.2,0.09,8.4,12  Jun 12,2012.0
Batman: Arkham Origins Blackgate    Read the review,PSV,Warner Bros. Interactive Entertainment,Action-Adventure,0.48,0.16,0.21,0.0,7.6,25  Oct 13,2013.0
Sonic Boom: Rise of Lyric    Read the review,WiiU,Sega,Action-Adventure,0.31,0.19,0.09,0.0,5.3,11  Nov 14,2014.0
LEGO DC Super-Villains    Read the review,XOne,Warner Bros. Interactive Entertainment,Action-Adventure,0.3,0.2,0.07,0.0,7.0,16  Oct 18,2018.0
Judgment     Read the review,PS4,Sega,Action-Adventure,0.22,0.0,0.0,0.22,7.0,25  Jun 19,2019.0
The Amazing Spider-Man (2012)    Read the review,3DS,Activision,Action-Adventure,0.21,0.16,0.03,0.0,6.0,26  Jun 12,2012.0
Red Dead Redemption 2    Read the review,PS4,Rockstar Games,Action-Adventure,13.94,5.26,6.21,0.21,8.0,26  Oct 18,2018.0
Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,8.76,3.64,3.39,0.32,8.0,07  Sep 18,2018.0
Assassin's Creed III    Read the review,PS3,Ubisoft,Action-Adventure,6.5,2.65,2.61,0.16,9.2,30  Oct 12,2012.0
Watch Dogs    Read the review,PS4,Ubisoft,Action-Adventure,4.32,1.4,2.13,0.11,8.7,27  May 14,2014.0
The Legend of Zelda: Majora's Mask 3D    Read the review,3DS,Nintendo,Action-Adventure,2.5,1.2,0.64,0.48,9.0,13  Feb 15,2015.0
Batman: Arkham Origins    Read the review,PS3,Warner Bros. Interactive Entertainment,Action-Adventure,2.4,1.08,0.88,0.04,8.2,25  Oct 13,2013.0
The Legend of Zelda: The Wind Waker    Read the review,WiiU,Nintendo,Action-Adventure,2.08,1.04,0.73,0.15,9.3,04  Oct 13,2013.0
LEGO Batman 2: DC Super Heroes    Read the review,PS3,Warner Bros. Interactive Entertainment,Action-Adventure,1.23,0.5,0.54,0.0,8.4,26  Jun 12,2012.0
Shadow of the Colossus    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,1.2,0.44,0.52,0.05,9.0,06  Feb 18,2018.0
Sleeping Dogs    Read the review,X360,Square Enix,Action-Adventure,0.87,0.38,0.4,0.01,8.8,14  Aug 12,2012.0
The Amazing Spider-Man (2012)    Read the review,X360,Activision,Action-Adventure,0.74,0.43,0.24,0.0,7.0,26  Jun 12,2012.0
Gravity Rush    Read the review,PSV,Sony Computer Entertainment,Action-Adventure,0.6,0.21,0.2,0.09,8.4,12  Jun 12,2012.0
Batman: Arkham Origins Blackgate    Read the review,PSV,Warner Bros. Interactive Entertainment,Action-Adventure,0.48,0.16,0.21,0.0,7.6,25  Oct 13,2013.0
Sonic Boom: Rise of Lyric    Read the review,WiiU,Sega,Action-Adventure,0.31,0.19,0.09,0.0,5.3,11  Nov 14,2014.0
LEGO DC Super-Villains    Read the review,XOne,Warner Bros. Interactive Entertainment,Action-Adventure,0.3,0.2,0.07,0.0,7.0,16  Oct 18,2018.0
Judgment     Read the review,PS4,Sega,Action-Adventure,0.22,0.0,0.0,0.22,7.0,25  Jun 19,2019.0
The Amazing Spider-Man (2012)    Read the review,3DS,Activision,Action-Adventure,0.21,0.16,0.03,0.0,6.0,26  Jun 12,2012.0
rain    Read the review,PS3,Sony Computer Entertainment,Action-Adventure,0.05,0.0,0.0,0.05,7.0,01  Oct 13,2013.0
Yomawari: The Long Night Collection    Read the review,NS,NIS America,Action-Adventure,0.05,0.04,0.0,0.01,6.0,30  Oct 18,2018.0
Monster Boy and the Cursed Kingdom    Read the review,NS,FDG Entertainment,Action-Adventure,0.04,0.03,0.0,0.0,8.0,06  Nov 18,2018.0
The Legend of Zelda: Phantom Hourglass    Read the review,DS,Nintendo,Adventure,5.09,1.85,1.8,0.95,9.2,02nd Oct 07,2007.0
